case,def_past,def_pres,def_fut,think_pas,think_pre,think_fut,import_pas_pre_fu,relation_pas_pre_fut,tbf1,tbf2,tbf3,tbf4,tbf5,tbf6,tbf7,tbf8,tbf9,aatas1,aatas2,aatas3,aatas4,aatas5,aatas6,aatas7,aatas8,aatas9,aatas10,aatas11,aatas12,aatas13,aatas14,aatas15,aatas16,aatas17,aatas18,aatas19,aatas20,aatas21,aatas22,aatas23,aatas24,aatas25,aatas26,aatas27,aatas28,aatas29,aatas30,sls1,sls2,sls3,sls4,sls5,sls6,sls7,pps1,pps2,pps3,pps4,pps5,pps6,pps7,pps8,pps9,pps10,pps11,pps12,gdms1,gdms2,gdms3,gdms4,gdms5,gdms6,gdms7,gdms8,gdms9,gdms10,gdms11,gdms12,gdms13,gdms14,gdms15,gdms16,gdms17,gdms18,gdms19,gdms20,gdms21,gdms22,gdms23,gdms24,gdms25,pss1,pss2,pss3,pss4,pss5,pss6,pss7,pss8,pss9,pss10,ysrs1,ysrs2,ysrs3,ysrs4,ysrs5,ysrs6,ysrs7,ysrs8,ysrs9,ysrs10,ysrs11,ysrs12,ysrs13.a,ysrs13.b,ysrs13.c,age,sex,race,income,edu,edu.father,edu.mother
221,"As something that is no longer happening, but that can affect the future and the present.",It's what we're living in right now.,"Extremely uncertain, unpredictable and even a little feared.",4,4,3,6,4,4,4,4,2,4,3,4,2,4,5,1,5,3,4,2,4,3,4,2,2,2,3,4,3,2,4,1,4,2,4,3,2,5,1,4,4,4,3,5,4,3,4,3,4,2,2,5,3,2,4,1,5,4,4,4,2,1,2,4,3,2,3,4,2,4,4,4,3,4,5,2,3,2,4,3,5,2,2,4,4,4,2,3,2,2,3,2,3,1,2,2,3,1,-4,3,3,3,-3,-3,-1,4,3,2,2,1,,,,,,,,,,
222,As a learning moment.,As a building moment for the future.,As a moment of achievement of goals and objectives.,4,4,4,2,3,3,4,4,3,4,2,3,4,2,5,2,3,2,4,3,5,2,4,1,4,3,4,4,3,1,4,3,4,2,4,1,1,3,1,5,4,5,4,3,4,1,5,2,5,4,4,2,3,4,4,2,4,5,5,5,4,3,3,4,4,2,4,4,5,3,5,4,3,4,5,3,4,5,5,3,4,5,3,4,5,5,1,3,2,4,4,3,2,3,2,3,2,4,-4,2,-4,3,-4,-4,4,4,3,2,1,0,,,,16,2,1,2,1,3,3
223,I define the past as a basis of lived experiences that will serve to make decisions in the future.,I define the present as a moment of now and the formation of new experiences and ideas.,I define the future as something facing the present and not knowing what will happen in it.,4,4,4,6,3,4,4,4,3,3,2,2,3,4,4,4,5,4,3,2,4,3,4,4,3,1,4,4,2,2,,1,5,2,4,2,2,4,2,3,2,4,3,4,4,2,4,3,4,2,3,1,2,2,2,4,2,4,2,4,2,2,,3,4,1,4,4,4,1,5,3,2,4,5,1,4,1,5,4,5,2,3,4,4,5,1,2,2,3,3,2,2,1,2,2,1,2,-3,3,4,4,-4,-4,4,4,4,4,4,0,Do not throw garbage in th,I try to reuse materials.,I try not to consume so much futile products.,16,1,6,1,1,3,3
224,Every memory that causes longing.,Like situations I have the power to change.,Where I project my expectations.,4,3,4,4,3,1,1,3,3,1,3,3,4,1,5,5,4,4,2,1,5,5,3,1,1,2,5,2,2,3,3,1,3,4,3,2,4,3,3,2,1,,5,4,2,1,5,5,1,3,3,2,2,2,4,5,4,4,4,5,4,3,3,4,3,2,4,3,3,4,5,3,2,4,5,2,2,4,4,4,4,1,1,4,4,5,4,1,4,4,4,0,0,0,0,4,4,4,-4,4,4,4,-4,-4,-3,4,4,4,4,4,Solidarity captains.,Clean beach.,Port all year round.,16,2,2,3,2,4,3
225,Someone who can't go back.,"Something to be lived without barriers, but with limits.","The moment to live what was planned (in the past, and in the present).",4,4,4,7,3,3,3,2,1,4,4,5,2,1,5,1,4,3,3,1,5,3,3,1,1,1,4,3,2,1,4,1,5,5,,,,,1,,3,4,1,3,4,5,4,5,1,3,1,1,3,2,5,2,1,2,3,1,1,1,1,1,3,3,3,5,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,2,1,3,1,1,-3,4,3,4,-4,-1,4,2,-4,-3,-4,-1,"Unfortunately, I don't thi",,,16,2,1,2,2,2,3
226,Cheerful and peaceful.,"Something troubled and turbulent, but it will pass.",Uncertain but that is watered with hope.,4,4,4,7,4,3,4,4,5,4,3,4,3,2,5,2,5,2,4,4,4,2,3,2,4,3,4,4,4,2,4,2,5,2,3,3,1,3,3,4,5,3,2,3,4,1,3,3,4,4,5,3,2,3,5,4,5,4,5,5,3,2,3,2,5,2,4,3,5,4,3,4,3,2,4,4,4,4,3,3,3,2,5,3,4,2,4,3,3,3,3,3,2,2,2,3,4,4,-4,4,4,2,-4,-4,2,4,4,3,4,3,,,,16,2,2,3,2,3,3
227,"Well, I had great experiences throughout my life.","Even better, lately I've been reaching my goals.","Only God knows, but I hope it's good.",3,4,3,2,3,4,5,3,5,3,4,1,5,4,3,1,5,1,5,1,5,1,4,1,5,1,4,5,1,1,5,1,5,1,4,1,1,4,2,5,2,4,1,4,4,3,4,2,4,4,2,3,3,4,3,2,2,4,4,4,2,2,1,4,3,2,3,5,4,3,4,3,3,4,4,3,3,3,4,4,3,2,3,3,4,4,2,2,2,2,2,3,3,3,2,2,1,2,0,2,4,4,-4,-4,3,4,4,3,3,2,,,,16,1,3,3,2,2,3
228,"As something that is already left behind, and that decisions made in the past should not persist and remain in the mind.","The ""now"" and that my decisions today will reflect on my future.",My dreams and what I want for my life.,2,4,4,6,2,4,5,4,3,4,5,5,3,5,5,1,5,3,4,2,5,1,5,1,5,2,5,5,2,2,5,1,5,2,4,1,1,4,1,5,2,5,2,5,5,4,2,2,5,5,4,3,3,4,3,2,4,4,4,2,2,2,2,4,4,2,2,4,2,4,4,4,2,4,4,3,2,2,4,2,4,2,2,4,5,4,2,2,2,0,2,2,4,3,2,2,2,1,-4,4,4,3,-4,-4,2,4,4,4,4,1,,,,16,2,1,2,2,3,4
229,It is a time that has passed but may be repeated in some future phases.,"The present is where we are and the world is not good in the present, it is being polluted every day.","The future is what we intend to do, like a dream to come true.",3,4,4,6,3,1,3,2,1,3,3,3,4,1,4,3,4,3,4,1,4,2,5,1,5,1,4,4,1,1,4,1,4,1,5,1,3,4,1,4,1,5,2,5,4,3,4,3,4,3,2,2,3,3,4,4,3,4,4,3,3,2,2,4,3,4,3,4,2,4,2,4,2,4,2,2,3,2,4,4,2,2,2,4,4,2,2,2,2,2,3,4,2,3,2,2,2,2,-4,2,2,2,-4,-4,0,4,3,3,3,3,,,,16,1,2,1,1,3,5
230,No perspective.,"Daily struggles, to break the established paradigms about me.","With difficulties, but nothing at the level of today.",3,4,4,6,4,3,4,3,1,3,4,3,3,2,3,2,3,1,4,1,3,1,3,2,4,1,5,4,1,,5,4,4,1,3,1,1,3,1,4,3,5,2,3,4,2,3,3,4,1,5,2,2,2,2,2,5,3,3,5,3,2,1,3,4,1,1,4,3,3,5,4,2,4,4,2,3,3,5,3,5,2,3,4,4,5,2,1,2,3,4,2,2,1,1,4,4,4,-4,0,4,4,-4,-4,3,2,4,4,4,-2,,,,16,2,6,2,1,2,3
231,"Trainer of our current values, responsible for our knowledge through experiences.",Definer of the future. Opportunity to evolve based on past experiences.,"Planned, anticipated. The reason(s) why we do what we do now, in the present.",4,4,4,2,2,5,5,5,5,5,5,5,5,5,5,1,5,2,4,4,5,4,5,1,4,4,5,4,4,2,4,4,4,2,4,1,1,2,1,4,5,5,4,4,4,1,4,4,4,2,4,2,2,2,4,4,4,2,4,4,3,4,4,5,2,2,2,4,4,4,4,2,4,5,5,1,4,2,5,2,2,2,1,4,2,2,4,4,2,2,0,1,2,2,3,3,1,2,-4,4,-4,4,-4,-4,4,4,4,4,4,4,Reduction of plastic consu,Reduction of water consumption.,Proper disposal of products such as oil/batteries.,16,2,1,2,1,3,2
232,It's everything that happened that can change the present.,It's all we can do today to change tomorrow.,It is everything that contributes to forming tomorrow.,4,3,4,6,3,4,5,2,1,5,5,5,2,1,,4,3,4,2,3,3,5,4,,1,3,5,2,3,,1,3,3,3,3,5,3,3,1,,2,5,5,3,3,1,4,4,1,1,1,5,5,,5,3,4,,3,5,3,4,4,4,,1,5,4,5,5,4,4,4,5,,4,4,,4,4,3,4,4,5,5,4,4,3,4,4,4,4,2,1,0,0,4,4,-4,3,4,4,-4,-4,2,3,4,4,4,4,It doesn't even have a pro,"Small, do not throw garbage in rivers.","Do not set tires on fire, do not drink drinks through a straw.",16,2,6,1,1,2,2
233,The past is the moment we have already realized.,The present is the moment we are living now.,The future is the moment we will still pass.,4,4,4,6,4,1,3,4,1,3,3,4,2,3,5,3,3,2,4,3,4,1,4,1,3,3,4,4,3,3,4,3,5,1,3,2,1,3,1,5,2,4,1,3,5,4,3,1,5,3,3,1,2,2,3,2,3,2,3,4,2,1,1,4,4,2,3,5,3,3,5,4,1,5,5,4,2,1,5,2,3,1,1,4,4,3,3,2,2,2,3,3,3,3,3,1,4,1,-4,3,4,3,-4,-4,4,4,4,4,4,3,,,,16,2,1,3,1,4,5
234,A set of moments that have structured me as a person and allowed me to be what I am today.,"The present is a possibility, something fickle. It is the first domino that will trigger the fall of all the others.",The future is assumptions of consequences. A thing created to justify the action of now.,3,4,4,7,4,3,1,2,1,1,1,1,1,2,3,4,,3,2,3,2,5,3,5,2,4,2,3,5,5,4,3,2,4,1,5,4,2,3,2,3,1,5,3,3,1,5,5,3,2,5,1,1,1,2,3,4,2,2,5,3,4,1,3,2,3,2,4,2,4,3,2,1,5,5,4,1,2,5,2,1,1,1,5,4,3,2,1,2,2,3,1,1,2,1,3,4,3,-4,4,4,4,-4,-4,3,3,2,4,3,4,,,,16,2,2,2,1,3,3
235,As something that has passed and has already been done.,Something momentary of short duration and that is always happening.,"Something that hasn't happened yet or will never happen, depending on present decisions and is something uncertain.",4,4,4,6,3,4,2,3,1,4,2,4,3,4,4,2,3,2,3,3,3,1,3,1,4,3,3,4,4,2,3,4,5,2,2,2,2,3,1,3,4,3,4,3,3,1,5,5,3,2,1,4,1,4,5,5,1,5,5,5,5,5,2,4,3,3,3,4,3,3,5,3,3,4,5,2,3,3,5,2,5,3,3,4,5,5,3,1,3,4,2,2,2,3,0,4,1,3,-1,2,3,4,-4,-3,4,0,0,0,2,0,,,,16,1,2,2,1,3,3
236,"As something that we do not refer to in our day-to-day life, as we only keep certain situations in our memories.","Something we experience more intensely, trying to build fashion to obtain future results.","Something indeterminate, we don't know what can happen 1 second after that.",3,4,3,6,1,1,2,1,2,1,2,1,2,1,2,2,4,4,4,1,2,2,4,2,4,2,2,4,2,2,4,2,4,2,2,2,2,2,2,4,2,2,2,4,4,1,2,2,4,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,4,2,4,2,2,4,4,2,2,2,4,2,2,2,2,4,2,4,2,2,2,3,4,2,1,2,0,4,4,4,-2,1,2,3,-3,-2,3,4,2,1,1,1,I don't throw garbage in t,I grow plants in the backyard.,,16,2,4,2,1,3,4
237,Necessary.,Chaotic.,Uncertain.,3,4,4,6,3,1,2,3,1,1,2,3,1,3,4,4,4,3,3,2,3,1,3,3,2,2,3,2,2,4,3,1,2,4,5,3,4,5,3,2,2,3,4,5,3,1,5,3,1,2,3,3,5,5,5,2,1,5,5,5,5,5,3,3,4,2,5,5,4,3,5,4,3,2,5,3,3,4,2,3,5,5,3,3,4,5,3,5,4,4,4,1,1,1,0,1,4,4,0,-1,4,0,-2,1,4,4,0,0,0,0,,,,16,1,6,1,1,2,3
238,"It is something that has passed and we can no longer intervene, but it is what defines our present.","Most importantly, as it can shape the future and create the ""past"" in the future.",It is what is to come through the present.,4,4,4,6,2,2,2,3,2,3,2,3,2,4,4,3,4,2,3,4,4,2,4,1,4,3,4,3,2,2,4,2,4,2,4,1,2,3,1,4,3,5,2,4,3,1,4,4,4,3,2,3,4,4,4,3,5,5,4,4,4,2,4,3,4,2,2,4,3,4,4,3,2,3,5,4,4,2,5,5,4,2,3,4,4,5,4,2,2,2,4,3,2,2,1,2,4,3,3,0,1,4,-3,1,4,3,2,3,2,0,,,,16,1,2,3,1,3,3
239,"It's gone, it's only present in memories, the good and bad things that happened.","It's what's happening, the decisions we make now may interfere in the future.","It will happen, nobody knows how each thing will happen, it's uncertain, but it's good to plan it to be the best possible.",3,4,3,6,2,2,3,4,2,1,2,2,2,2,3,2,5,3,4,1,3,3,4,2,4,2,3,3,2,2,4,1,3,2,4,2,2,3,2,4,2,3,2,4,4,2,4,3,4,2,3,2,3,3,4,2,3,3,4,3,3,2,2,3,3,3,3,3,2,2,3,4,2,4,4,3,2,3,3,3,3,2,2,2,4,3,3,2,1,1,2,2,2,2,2,2,3,0,-2,1,3,3,-3,-3,0,3,2,1,1,1,,,,16,1,2,2,2,3,4
240,"As learning. Different from what people say, I believe he is essential, because everything I know came from him, he defines who ",Like a door to the future. Everything I do in my present interferes with the future.,An abstract reflection of the present. A dream that might come true.,3,4,4,7,4,3,2,2,1,4,2,4,4,2,4,2,3,1,4,1,2,4,2,1,4,2,4,5,3,1,5,1,4,2,3,2,1,2,1,4,4,4,4,2,4,1,4,4,4,1,3,4,2,4,5,3,5,5,4,5,2,4,3,5,2,1,4,5,1,3,4,2,2,5,5,2,3,2,,2,4,4,2,5,2,4,2,2,3,4,4,1,1,2,1,4,4,4,-4,4,4,4,-4,-4,4,4,4,3,4,4,I don't have time availabl,"But I am educating myself not to waste straws, water, light, paper, plastic and these things",,16,2,2,2,2,2,2
241,Moment that cannot be changed.,Determining factor for building the future.,Result of past actions.,3,4,3,6,3,3,2,3,2,3,2,2,3,3,3,2,5,,4,3,3,3,4,2,2,4,4,3,4,2,3,2,3,4,,4,2,3,2,4,3,3,4,4,4,2,4,2,4,2,4,5,4,5,5,5,5,5,5,5,3,2,2,3,3,2,4,4,2,3,4,4,3,4,4,3,4,2,4,2,4,4,2,4,4,3,3,3,2,4,2,2,2,2,2,3,3,2,-2,4,1,3,-3,-4,3,3,3,2,2,1,I think that defending the,,,16,2,2,3,2,5,5
242,"Past is a time that has passed, only memories remain, example: Yesterday is already past.",It's what I'm living now.,What will I still live.,4,1,3,3,4,4,5,3,4,3,5,1,3,1,4,5,3,4,2,5,,3,,2,1,5,3,1,5,4,3,4,3,5,3,,2,1,4,1,4,3,1,2,4,1,5,5,1,1,2,1,4,4,4,4,4,4,4,5,5,1,1,3,4,3,1,4,4,4,4,4,2,4,5,3,1,1,4,4,5,1,1,4,4,4,3,5,4,2,3,2,1,1,1,4,3,4,-4,4,2,,-4,-4,3,4,4,4,4,4,"I separate my garbage, bet",I often use public transport or bicycle.,I try to make people around me aware of the environment.,16,1,6,,2,3,2
243,Thoughts and actions that were important to your formation and cannot be changed.,Attitudes you take and do not influence the future.,The consequence of your present actions.,4,4,4,6,3,4,4,3,1,4,3,3,4,2,4,1,5,2,4,2,4,1,4,1,4,2,4,4,2,1,4,1,4,2,4,1,2,3,1,4,2,4,2,5,4,3,4,4,4,4,3,4,2,2,5,4,5,5,5,5,4,4,3,5,4,2,1,4,2,4,3,3,2,4,4,3,3,2,4,3,4,2,2,4,4,2,3,2,1,2,4,2,3,4,2,3,2,1,-4,2,3,3,-4,-3,4,4,3,0,4,3,Reduction in the use of di,Reduction in meat consumption.,,16,1,2,3,2,4,3
244,"Like a box of memories and advice for myself, on account of the mistakes and experiences I've lived.","As an opportunity to change, to do new things, and really live life.","As a consequence of all the way, being the result of the past and the present together.",4,4,4,7,4,4,3,3,2,4,2,4,3,3,4,1,3,4,5,1,3,1,5,2,1,1,4,5,1,1,5,1,5,1,4,1,1,3,1,4,1,3,1,3,4,1,4,3,4,1,1,1,1,3,4,3,3,3,4,4,2,2,1,4,3,1,1,4,1,1,5,3,3,4,4,1,1,1,4,3,4,1,1,4,3,4,1,1,2,2,2,2,2,1,0,2,1,2,-4,3,4,4,-4,-4,3,4,4,3,2,2,I try my best to use reusa,Develop the habit of riding the bus more often.,Teach children about pollution.,16,2,3,1,2,3,3
245,"In something that we should use as a basis for the future, in a way that we don't make the same mistakes.","In something that needs to be enjoyed, lived, something momentary, that will define my life.","In something distant and at the same time close, something that will make my dreams come true.",3,4,3,6,4,4,4,4,3,4,3,4,3,4,3,2,4,1,4,1,3,1,4,1,4,1,4,5,1,2,4,1,5,1,1,2,2,4,2,4,2,4,2,4,4,1,3,2,4,3,2,4,2,4,4,4,5,4,4,4,3,2,2,3,4,2,3,4,4,4,5,4,3,4,4,4,4,2,2,2,3,4,2,4,4,3,2,2,1,1,3,3,3,3,2,2,3,2,-4,4,4,4,-3,-2,4,4,2,3,2,2,I make soap with oil.,We collect cardboard for the literary project.,"I work on biodegradable plastic, I started.",16,2,1,3,2,5,5
246,A very complicated period but which brought many teachings and evolutions.,The best part of life.,"Evolution, every day more.",2,4,4,2,3,2,4,5,4,5,2,3,2,1,4,2,4,1,5,2,3,2,2,1,5,5,4,5,2,1,5,2,5,1,2,2,1,1,1,5,4,5,2,3,5,3,2,3,5,5,5,4,1,4,4,1,4,2,5,2,1,1,4,2,5,4,2,5,3,5,2,5,1,4,4,4,2,3,5,5,2,2,2,3,5,1,5,1,1,0,3,4,4,5,2,1,1,0,-4,4,4,3,-4,-4,3,3,4,4,4,4,Awareness through digital,Separate the trash.,Reduce car dependency.,16,2,2,3,2,4,4
247,Important for a moral formation.,Indefinable / oscillating.,Consequence of the present (i.e. also oscillates).,2,3,4,6,2,4,3,3,1,5,1,2,3,1,4,3,4,2,3,1,3,3,4,3,3,2,3,4,2,4,4,1,3,3,4,4,3,3,4,4,2,3,3,2,4,3,5,5,4,2,5,4,2,4,4,4,4,1,1,3,3,1,2,4,2,3,4,4,4,3,2,2,4,4,2,3,2,2,3,4,4,4,3,4,4,2,2,2,3,1,1,3,3,3,2,2,3,1,-4,0,4,4,-2,-4,2,4,-1,2,-4,1,,,,16,1,6,2,1,3,3
248,"Something that cannot be changed, but rethought to influence our actions.","A game of actions, time to plan and act according to plans for the future, whether near or far.","The consequence of this,",4,4,4,6,3,2,3,4,1,3,3,2,2,1,2,2,4,5,3,5,3,4,2,5,4,5,2,2,5,5,1,4,3,2,1,2,4,2,1,4,5,2,1,4,3,1,5,3,4,2,2,4,1,4,4,4,5,5,5,5,5,2,1,5,5,2,1,5,2,4,4,2,2,5,5,5,2,1,5,1,3,1,1,5,5,2,4,1,2,4,4,2,1,2,2,4,1,3,-4,3,4,2,-3,-4,3,1,3,-2,3,3,I don't throw garbage in t,I separate the garbage.,I try to save energy.,16,2,2,3,1,5,5
249,"Actions that happened, something that won't come back, history.","It's the current one, what I'm living and doing now.","It's tomorrow and the day after, things yet to come, unexpected.",3,4,3,6,4,3,3,4,3,3,3,3,4,2,5,2,4,1,4,2,3,2,4,1,4,3,5,4,2,2,5,1,5,1,3,1,1,3,1,5,1,4,3,3,3,3,5,3,4,3,3,4,4,3,4,3,5,4,4,5,3,4,2,3,3,1,2,4,3,4,4,3,3,4,3,3,3,3,4,3,3,2,3,3,4,3,3,2,2,2,3,2,2,2,2,3,3,3,-4,4,4,4,-4,-4,3,4,4,4,4,4,,,,16,2,6,2,2,2,3
250,"Something that cannot be changed, which can cause distress, and therefore must be overcome.",Choices that write our history.,Hope and concerns.,3,3,3,3,3,3,1,2,2,1,1,1,3,3,4,5,5,2,2,3,3,5,3,2,2,3,3,2,3,2,3,4,4,4,3,1,3,3,1,3,3,4,5,2,2,1,4,3,3,3,3,3,2,3,5,4,4,5,4,5,5,5,2,2,1,1,2,3,5,2,5,3,3,3,5,1,3,3,5,2,5,3,2,4,4,4,1,2,3,4,4,1,1,1,1,4,4,4,-4,4,4,4,-4,-2,3,4,3,4,2,1,Do not throw garbage on th,I rarely drive. I take mass transit.,,16,2,3,2,3,3,4
251,"Full of ups and downs, learning more and more from my mistakes, to be someone mature.","Stress, due to the very important time of entrance exams.",Stability and with a good job that I can constantly learn and study what I like.,4,4,3,6,3,4,3,4,3,3,4,4,4,5,4,2,4,1,4,4,3,2,3,1,4,4,3,4,3,1,5,3,4,2,2,1,2,2,2,4,4,4,2,2,4,1,4,3,4,3,3,2,4,3,5,3,4,4,4,4,3,1,2,5,4,3,1,5,4,4,3,4,2,2,4,4,3,3,4,2,4,3,3,3,5,3,3,2,0,3,4,1,3,2,2,2,4,3,-3,1,4,2,-4,-2,4,3,3,2,3,0,Reduce the emission of pol,Recycle everything I can.,More social and environmental education.,16,1,2,4,3,3,4
252,What happened.,What we live.,What is yet to come.,3,4,4,6,2,2,3,4,2,4,3,2,3,2,5,1,4,3,5,5,5,3,4,3,2,4,3,3,3,5,4,5,2,3,3,4,1,3,3,4,3,5,2,4,4,5,2,1,5,3,,2,3,4,5,4,3,4,2,1,1,5,5,3,4,2,3,3,2,5,3,1,2,3,2,3,5,1,2,3,3,2,4,5,2,4,2,4,1,2,3,1,4,4,2,1,0,2,-2,3,4,2,-3,-3,3,4,1,3,1,2,,,,16,1,2,3,3,3,5
253,Something that is important to remember and learn your lessons.,"Everything that is happening now, on which we build our future.",Something that must be built in the present to be conquered.,4,4,4,6,4,4,3,4,1,4,3,3,3,2,4,5,5,1,2,1,5,3,4,1,2,2,5,3,2,1,3,2,4,4,4,2,3,4,1,3,1,5,4,4,3,1,5,3,3,2,2,3,3,4,4,2,4,4,5,3,2,4,2,4,4,1,3,4,5,3,5,3,4,3,4,4,3,4,4,2,4,1,5,4,4,4,3,2,0,2,3,2,4,3,1,2,4,0,-3,0,4,4,-4,-3,3,3,4,3,2,1,Do not throw garbage on th,,,16,1,2,1,3,3,3
254,It is the story that has already happened. Where we have our mistakes and successes marked. It is our evolution.,"The present is what happens, the now, what will become the past and which outlines our future.",It is what will still happen. It is changeable and depends on our present.,4,4,4,6,4,3,2,4,1,2,3,3,3,3,4,3,3,2,3,1,3,3,4,2,3,3,5,3,2,1,4,2,5,3,4,1,3,2,1,4,4,5,2,2,4,2,3,4,4,3,,3,3,2,4,,3,4,4,4,2,3,2,4,4,2,2,4,2,4,4,2,4,4,4,4,2,2,4,2,4,2,2,4,4,3,2,2,3,2,3,2,3,2,2,1,3,1,-3,4,4,4,-3,-4,3,3,4,4,4,4,Selective collect.,Water economy.,Saving unnecessary use of materials.,16,2,6,4,3,4,5
255,"Something that I already can, stays in my memory and it doesn't matter if it was good or bad, we will always mature or change an","The moment, which we must seize and know that we will have the consequences in the future.",Our past decisions (in present tense).,3,4,,6,4,4,2,4,1,4,3,4,4,5,5,1,5,2,5,2,4,2,4,1,4,2,4,4,2,2,4,2,4,2,4,2,2,4,1,5,2,4,2,4,4,3,4,2,5,4,4,2,2,4,4,4,4,2,4,4,2,2,4,3,4,2,2,4,2,4,4,2,2,4,2,4,2,2,4,2,4,2,2,4,4,2,2,4,3,2,2,3,3,2,2,2,1,2,-4,3,4,4,-4,-4,3,4,4,3,4,3,I don't throw garbage on t,I use minimal plastic.,I respect selective collection.,16,2,6,4,1,5,5
256,The past is what you remember.,It's a gift.,It's a mystery.,4,3,3,2,3,2,1,4,1,1,3,3,4,3,4,4,4,2,3,2,3,4,4,1,3,2,3,3,2,3,4,2,3,3,4,2,4,4,3,4,2,3,4,4,3,2,4,3,4,4,4,4,4,4,4,2,4,4,4,2,2,3,2,3,4,2,3,3,4,2,4,4,3,2,4,4,2,2,4,4,4,2,3,2,4,4,3,2,2,1,2,3,2,2,1,1,3,1,-2,0,2,3,-2,-3,3,3,0,-3,0,1,,,,16,1,6,2,2,5,5
257,"Something that defines who I am today, that makes me who I am today.","Something difficult to deal with, it's natural and scary.",A path of possibilities.,4,4,4,5,1,4,3,4,5,3,5,4,5,4,3,4,3,3,2,3,3,4,3,4,5,3,2,2,1,4,2,3,2,4,4,4,4,3,3,2,2,3,4,3,2,1,5,3,3,3,3,5,4,5,5,5,5,5,4,4,5,5,2,3,2,1,4,5,4,1,4,3,4,5,5,1,5,1,5,3,4,5,1,1,5,4,1,5,3,4,4,0,0,1,0,1,4,4,-4,0,4,4,-4,-4,4,0,4,4,4,4,Recycling,Trying to reduce my trash,flower planting,16,2,2,2,2,3,3
258,"The past is everything that has ever happened and influenced, directly or indirectly, the now (the present).","The present is the result of what happened in the past, but that may or may not be changed.","The future I would define as uncertain, but it is defined by choices. Choices made in the present.",4,4,4,6,4,3,3,4,3,4,3,4,3,2,4,2,5,1,4,2,3,2,4,1,2,2,3,3,2,2,3,1,3,3,4,1,2,4,1,3,2,4,4,4,3,1,5,2,4,2,3,2,2,4,5,4,4,3,,4,2,2,4,4,5,5,2,5,4,4,3,2,2,4,1,3,2,2,4,3,4,2,2,4,3,4,2,1,2,0,2,2,3,3,1,0,0,1,-2,2,4,4,-3,-3,3,3,3,3,3,1,Conscientious disposal of,Awareness of friends and family.,,16,1,6,,2,5,4
259,"Something that has passed, that you experienced and that may no longer have influence in the now (present).",The now you are living in.,As something to come. So we don't know if it will be good or bad.,3,4,3,6,4,3,3,4,4,4,3,3,3,3,4,3,3,3,3,3,4,3,3,1,3,3,4,3,2,1,3,4,4,3,3,1,3,3,1,3,3,4,3,2,3,2,4,5,3,2,2,3,4,4,4,3,3,4,3,4,3,2,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,4,4,3,3,4,2,2,2,2,2,2,1,2,2,2,-2,2,2,2,-4,-2,0,2,2,2,2,3,Always try your best to re,No more throwing rubbish on the floor.,Save water and electricity as much as possible.,16,1,3,2,2,2,2
260,Everything that has passed.,What we live now.,Everything that will come ahead.,4,4,4,7,3,5,4,4,5,5,3,5,5,5,3,1,5,3,5,1,4,1,5,1,5,1,4,5,1,1,4,2,4,1,5,1,1,4,1,4,1,4,1,4,5,5,2,2,4,3,3,4,3,2,2,2,4,3,4,5,2,1,1,3,3,3,3,4,4,3,4,4,4,2,5,3,2,2,4,3,2,3,3,4,4,3,2,2,1,1,2,4,4,3,2,2,1,2,-3,4,4,4,-4,-3,3,4,4,4,3,3,Recycling.,,,16,1,1,,2,5,5
261,It is to be used for learning. Learn from mistakes.,Something that must be done and thought about.,Uncertain.,1,4,3,6,3,4,2,3,1,4,4,4,3,2,4,1,5,1,4,2,3,1,4,1,3,3,5,5,1,1,3,1,5,1,3,1,1,2,1,4,2,5,1,3,5,,,1,5,,3,1,1,2,3,3,2,2,2,3,2,,1,4,3,2,3,5,2,3,3,4,2,4,4,3,2,1,4,2,2,1,1,2,5,3,2,1,2,1,2,3,3,3,2,2,1,0,-4,3,4,3,-4,-2,3,3,2,4,0,3,Recycling.,I ride a bike.,I spread the event so that you have knowledge.,16,1,2,3,3,5,5
262,Like something that never comes back.,What are we living in now.,"What is yet to come, the result of our current choices.",4,1,3,6,4,4,1,3,2,3,2,4,3,2,5,2,4,2,4,3,2,4,4,5,5,5,3,4,5,1,4,1,4,2,3,2,1,2,2,4,4,4,5,4,4,3,3,3,4,1,3,5,4,5,5,5,5,5,5,5,2,3,1,4,4,5,5,4,1,1,4,2,1,5,4,2,5,2,4,3,2,2,1,5,4,2,1,2,1,4,4,2,1,0,2,2,4,4,-4,3,4,3,4,,-2,3,3,3,4,4,,,,16,2,6,2,2,4,2
263,The past taught me to be who I am today. I define it as an apprenticeship.,Live the moment.,"What will I be, what course will I study.",4,4,4,6,2,1,1,2,2,5,3,3,5,1,3,3,2,,3,5,3,4,5,3,3,5,1,3,5,5,3,5,3,3,1,5,3,1,2,3,5,3,4,5,3,3,5,5,3,2,1,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,5,2,5,2,5,5,3,4,4,1,5,5,4,4,4,2,5,2,5,5,5,2,3,4,4,1,0,0,0,0,3,4,-3,4,4,4,-4,-4,4,4,4,1,4,4,Do not throw garbage on th,Save water.,Do not throw rubbish into the sea.,16,2,1,1,2,2,3
